"gene","A5","A9","A17","A21","A29","A33"
"Solyc00g079050",0,0,0,0,1,0
"Solyc00g080550",0,0,0,0,0,0
"Solyc00g080750",1,4,0,0,3,6
"Solyc00g082150",249,437,378,619,343,678
"Solyc00g082550",0,0,0,0,0,0
"Solyc00g084650",0,0,0,0,0,0
"Solyc00g084750",3,0,0,0,0,0
"Solyc00g084760",17,5,12,3,25,0
"Solyc00g084770",8,2,2,1,9,2
"Solyc00g084870",8,49,10,123,6,185
"Solyc00g085070",184,329,301,469,246,906
"Solyc00g085370",3,0,0,0,1,0
"Solyc00g085770",0,0,0,0,0,0
"Solyc00g085780",0,0,0,0,0,0
"Solyc00g088080",0,0,0,0,0,0
"Solyc00g088090",0,0,0,0,0,0
"Solyc00g088190",0,0,0,0,0,0
"Solyc00g088200",0,0,0,0,0,0
"Solyc00g088210",0,0,0,0,0,0
"Solyc00g090110",0,0,0,0,0,0
"Solyc00g090120",0,0,0,0,0,0
"Solyc00g090130",0,0,0,0,0,0
"Solyc00g090430",37,23,42,31,26,14
"Solyc00g090630",0,0,0,0,0,0
"Solyc00g090640",0,0,0,0,0,0
"Solyc00g090650",0,0,0,0,0,0
"Solyc00g090660",0,0,0,0,0,0
"Solyc00g090860",0,0,0,0,0,0
"Solyc00g090870",425,238,547,297,482,446
"Solyc00g091170",66,121,43,59,99,229
"Solyc00g092870",0,0,0,0,0,0
"Solyc00g092880",0,0,0,0,0,0
"Solyc00g092890",0,0,0,0,0,0
"Solyc00g092900",3,3,3,3,1,8
"Solyc00g093000",11,31,13,36,16,91
"Solyc00g093100",0,0,0,0,0,0
"Solyc00g093300",2,0,1,0,2,3
"Solyc00g093310",10,4,7,4,20,5
"Solyc00g094010",0,0,0,0,0,0
"Solyc00g094020",6,2,7,1,3,3
"Solyc00g094520",538,735,793,2103,455,1440
"Solyc00g094530",2421,5086,1768,4579,2876,8781
"Solyc00g094540",1,5,9,10,3,7
"Solyc00g094550",15,72,28,146,12,272
"Solyc00g094850",35,11,45,7,38,13
"Solyc00g095450",0,0,0,0,0,0
"Solyc00g095460",0,0,0,0,0,0
"Solyc00g095760",0,1,0,1,1,0
"Solyc00g095860",0,0,0,0,0,0
"Solyc00g096060",0,0,0,0,1,0
"Solyc00g096460",114,60,143,83,162,106
"Solyc00g097260",0,0,0,0,0,0
"Solyc00g097760",3,1,2,0,4,0
"Solyc00g097960",35,72,43,46,89,140
"Solyc00g098560",27,32,27,26,62,225
"Solyc00g099160",0,0,0,0,0,0
"Solyc00g099460",0,0,0,0,0,0
"Solyc00g099470",0,0,0,0,0,0
"Solyc00g099570",0,0,0,0,0,0
"Solyc00g099580",91,214,19,57,129,368
"Solyc00g099880",0,0,0,0,0,0
"Solyc00g100880",0,0,0,0,1,0
"Solyc00g101700",0,0,0,0,0,0
"Solyc00g102000",145,39945,10654,2299,271,4988
"Solyc00g102400",0,0,0,0,0,0
"Solyc00g104200",0,0,0,0,0,0
"Solyc00g104210",0,0,0,0,0,0
"Solyc00g104310",0,0,0,0,0,0
"Solyc00g104320",0,0,0,0,0,0
"Solyc00g104330",0,0,0,0,0,0
"Solyc00g104630",0,0,0,0,0,0
"Solyc00g104730",0,0,0,0,0,0
