GO_term,locusName,fx
GO:0005622,Solyc11g005680,Cellular Component:intracellular anatomical structure
GO:0005622,Solyc05g008010,Cellular Component:intracellular anatomical structure
GO:0005622,Solyc06g005360,Cellular Component:intracellular anatomical structure
GO:0005622,Solyc06g073300,Cellular Component:intracellular anatomical structure
GO:0005622,Solyc09g015330,Cellular Component:intracellular anatomical structure
GO:0005622,Solyc01g088470,Cellular Component:intracellular anatomical structure
GO:0005622,Solyc08g006040,Cellular Component:intracellular anatomical structure
GO:0005622,Solyc03g119360,Cellular Component:intracellular anatomical structure
GO:0005622,Solyc01g080180,Cellular Component:intracellular anatomical structure
GO:0005622,Solyc06g007470,Cellular Component:intracellular anatomical structure
GO:0005622,Solyc03g058990,Cellular Component:intracellular anatomical structure
GO:0005622,Solyc00g036540,Cellular Component:intracellular anatomical structure
GO:0005622,Solyc04g016390,Cellular Component:intracellular anatomical structure
GO:0005622,Solyc09g075160,Cellular Component:intracellular anatomical structure
GO:0005622,Solyc03g120780,Cellular Component:intracellular anatomical structure
GO:0005622,Solyc05g041490,Cellular Component:intracellular anatomical structure
GO:0005622,Solyc03g112850,Cellular Component:intracellular anatomical structure
GO:0005622,Solyc02g080190,Cellular Component:intracellular anatomical structure
GO:0005622,Solyc04g074910,Cellular Component:intracellular anatomical structure
GO:0005622,Solyc05g055640,Cellular Component:intracellular anatomical structure
GO:0005622,Solyc01g103510,Cellular Component:intracellular anatomical structure
GO:0005622,Solyc01g110180,Cellular Component:intracellular anatomical structure
GO:0005622,Solyc06g069090,Cellular Component:intracellular anatomical structure
GO:0005622,Solyc09g018690,Cellular Component:intracellular anatomical structure
GO:0005622,Solyc04g008810,Cellular Component:intracellular anatomical structure
GO:0005622,Solyc01g008080,Cellular Component:intracellular anatomical structure
GO:0005622,Solyc03g005180,Cellular Component:intracellular anatomical structure
GO:0005622,Solyc12g089240,Cellular Component:intracellular anatomical structure
GO:0005622,Solyc01g094560,Cellular Component:intracellular anatomical structure
GO:0005622,Solyc07g049130,Cellular Component:intracellular anatomical structure
GO:0005622,Solyc07g008660,Cellular Component:intracellular anatomical structure
GO:0005622,Solyc09g075290,Cellular Component:intracellular anatomical structure
GO:0005622,Solyc12g100360,Cellular Component:intracellular anatomical structure
GO:0005622,Solyc10g017550,Cellular Component:intracellular anatomical structure
GO:0005622,Solyc12g096300,Cellular Component:intracellular anatomical structure
GO:0005622,Solyc06g082760,Cellular Component:intracellular anatomical structure
GO:0005622,Solyc06g069860,Cellular Component:intracellular anatomical structure
