GO_term,locusName,fx
GO:0003333,Solyc01g111800,Biological Process:amino acid transmembrane transport
GO:0003333,Solyc10g018600,Biological Process:amino acid transmembrane transport
GO:0003333,Solyc05g008760,Biological Process:amino acid transmembrane transport
GO:0003333,Solyc10g081460,Biological Process:amino acid transmembrane transport
GO:0003333,Solyc02g070280,Biological Process:amino acid transmembrane transport
GO:0003333,Solyc05g052300,Biological Process:amino acid transmembrane transport
GO:0003333,Solyc01g005920,Biological Process:amino acid transmembrane transport
GO:0003333,Solyc04g077460,Biological Process:amino acid transmembrane transport
GO:0003333,Solyc08g075710,Biological Process:amino acid transmembrane transport
GO:0003333,Solyc02g089400,Biological Process:amino acid transmembrane transport
GO:0003333,Solyc02g081850,Biological Process:amino acid transmembrane transport
GO:0003333,Solyc08g005540,Biological Process:amino acid transmembrane transport
GO:0003333,Solyc08g077810,Biological Process:amino acid transmembrane transport
GO:0003333,Solyc10g049640,Biological Process:amino acid transmembrane transport
GO:0003333,Solyc06g050800,Biological Process:amino acid transmembrane transport
GO:0003333,Solyc02g065680,Biological Process:amino acid transmembrane transport
GO:0003333,Solyc02g070290,Biological Process:amino acid transmembrane transport
GO:0003333,Solyc12g027810,Biological Process:amino acid transmembrane transport
GO:0003333,Solyc07g032290,Biological Process:amino acid transmembrane transport
GO:0003333,Solyc12g096380,Biological Process:amino acid transmembrane transport
GO:0003333,Solyc11g072170,Biological Process:amino acid transmembrane transport
GO:0003333,Solyc06g061270,Biological Process:amino acid transmembrane transport
GO:0003333,Solyc02g070270,Biological Process:amino acid transmembrane transport
GO:0003333,Solyc03g117350,Biological Process:amino acid transmembrane transport
GO:0003333,Solyc04g011590,Biological Process:amino acid transmembrane transport
GO:0003333,Solyc07g066010,Biological Process:amino acid transmembrane transport
GO:0003333,Solyc12g011370,Biological Process:amino acid transmembrane transport
GO:0003333,Solyc09g092420,Biological Process:amino acid transmembrane transport
GO:0003333,Solyc01g034080,Biological Process:amino acid transmembrane transport
GO:0003333,Solyc06g050790,Biological Process:amino acid transmembrane transport
GO:0003333,Solyc12g027890,Biological Process:amino acid transmembrane transport
GO:0003333,Solyc08g077820,Biological Process:amino acid transmembrane transport
GO:0005975,Solyc09g009190,Biological Process:carbohydrate metabolic process
GO:0005975,Solyc09g092160,Biological Process:carbohydrate metabolic process
GO:0005975,Solyc02g080160,Biological Process:carbohydrate metabolic process
GO:0005975,Solyc11g042950,Biological Process:carbohydrate metabolic process
GO:0005975,Solyc06g064520,Biological Process:carbohydrate metabolic process
GO:0005975,Solyc01g109570,Biological Process:carbohydrate metabolic process
GO:0005975,Solyc05g054710,Biological Process:carbohydrate metabolic process
GO:0005975,Solyc01g100980,Biological Process:carbohydrate metabolic process
GO:0005975,Solyc08g075530,Biological Process:carbohydrate metabolic process
GO:0005975,Solyc11g018490,Biological Process:carbohydrate metabolic process
GO:0005975,Solyc07g038110,Biological Process:carbohydrate metabolic process
GO:0005975,Solyc04g077030,Biological Process:carbohydrate metabolic process
GO:0005975,Solyc08g014480,Biological Process:carbohydrate metabolic process
GO:0005975,Solyc04g025440,Biological Process:carbohydrate metabolic process
GO:0005975,Solyc05g005040,Biological Process:carbohydrate metabolic process
GO:0005975,Solyc07g064830,Biological Process:carbohydrate metabolic process
GO:0005975,Solyc03g043970,Biological Process:carbohydrate metabolic process
GO:0005975,Solyc02g067860,Biological Process:carbohydrate metabolic process
GO:0005975,Solyc01g008720,Biological Process:carbohydrate metabolic process
GO:0005975,Solyc01g010160,Biological Process:carbohydrate metabolic process
GO:0005975,Solyc07g063370,Biological Process:carbohydrate metabolic process
GO:0005975,Solyc12g017920,Biological Process:carbohydrate metabolic process
GO:0005975,Solyc02g070450,Biological Process:carbohydrate metabolic process
GO:0005975,Solyc12g056530,Biological Process:carbohydrate metabolic process
GO:0005975,Solyc01g107000,Biological Process:carbohydrate metabolic process
GO:0005975,Solyc12g007250,Biological Process:carbohydrate metabolic process
GO:0005975,Solyc01g005120,Biological Process:carbohydrate metabolic process
GO:0005975,Solyc05g007260,Biological Process:carbohydrate metabolic process
GO:0005975,Solyc02g086090,Biological Process:carbohydrate metabolic process
GO:0005975,Solyc03g006870,Biological Process:carbohydrate metabolic process
GO:0005975,Solyc01g106980,Biological Process:carbohydrate metabolic process
GO:0005975,Solyc12g008840,Biological Process:carbohydrate metabolic process
GO:0005975,Solyc11g072760,Biological Process:carbohydrate metabolic process
GO:0005975,Solyc05g046290,Biological Process:carbohydrate metabolic process
